City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,altai,46.3722,96.2583,-6.71,36,64,1.58,MN,1682032906
217,peterhead,57.5058,-1.7981,5.22,83,0,3.41,GB,1682032906
218,black river,18.0264,-77.8487,26.75,77,13,3.08,JM,1682032906
219,lachen,47.1915,8.8562,5.68,89,100,0.89,CH,1682032906
220,ulladulla,-35.35,150.4667,16.92,64,6,1.49,AU,1682032906
221,guangyuan,32.442,105.823,13.86,92,100,3.32,CN,1682032906
222,roccella ionica,38.322,16.4009,13.55,81,86,1.26,IT,1682032906
223,el banco,9.0011,-73.9758,28.52,73,98,2.35,CO,1682032906
224,amos,48.5669,-78.1162,3.35,66,75,2.17,CA,1682032906
225,zelenogorskiy,55.0333,87.0,-3.32,89,100,2.89,RU,1682032906
226,las khorey,11.1595,48.1967,28.13,69,1,3.65,SO,1682032906
227,jining,35.405,116.5814,14.9,27,99,4.49,CN,1682032906
228,ishim,56.1128,69.4902,1.21,66,42,3.73,RU,1682032906
229,napili-honokowai,20.9708,-156.6705,26.28,94,7,3.44,US,1682032906
230,colonia,50.9333,6.95,8.31,88,75,0.51,DE,1682032907
231,kourou,5.1552,-52.6478,25.03,92,93,3.33,GF,1682032907
232,alesund,62.4723,6.1549,8.75,93,100,4.12,NO,1682032856
233,callao,-12.0667,-77.15,26.51,69,0,7.2,PE,1682032907
234,okeho,8.0333,3.35,25.18,81,14,3.8,NG,1682032907
235,dzerzhinskoye,56.8344,95.2283,-9.92,95,63,1.26,RU,1682032907
236,castillos,-34.1667,-53.8333,12.47,80,1,2.33,UY,1682032907
237,pathein,16.7833,94.7333,25.41,84,1,2.87,MM,1682032907
238,chibougamau,49.9168,-74.3659,-3.21,74,100,2.06,CA,1682032640
239,aykhal,66.0,111.5,-12.06,97,86,1.16,RU,1682032907
240,ha'il,27.5219,41.6907,20.01,64,40,1.03,SA,1682032907
241,higuera de zaragoza,25.95,-109.2833,26.96,41,100,5.62,MX,1682032907
242,salekhard,66.53,66.6019,-10.69,98,87,1.73,RU,1682032907
243,alto barinas,8.5931,-70.2261,32.04,48,90,1.35,VE,1682032907
244,tuzhai,24.983,118.8319,19.57,90,89,4.73,CN,1682032907
245,malabar,-33.9667,151.25,19.8,72,20,5.14,AU,1682032908
246,kailaras,26.3167,77.6167,26.87,34,99,1.65,IN,1682032908
247,nova sintra,14.8667,-24.7167,19.91,78,95,11.12,CV,1682032908
248,undurkhaan,47.3194,110.6556,-2.55,21,97,5.01,MN,1682032908
249,sorong,-0.8833,131.25,26.49,84,100,2.43,ID,1682032908
250,songea,-10.6833,35.65,16.41,98,16,0.73,TZ,1682032908
251,jayapura,-2.5333,140.7,27.66,73,44,1.46,ID,1682032908
252,tolanaro,-25.0319,46.9987,22.04,88,20,1.03,MG,1682032908
253,prado,-17.3411,-39.2208,25.56,92,65,5.41,BR,1682032908
254,aflou,34.1128,2.1023,11.74,45,12,3.69,DZ,1682032908
255,punta del este,-34.9667,-54.95,16.04,78,0,1.54,UY,1682032909
256,paraiso,9.8383,-83.8656,24.48,82,40,1.42,CR,1682032909
257,kidal,18.4411,1.4078,31.09,14,1,4.3,ML,1682032909
258,constantia,44.1833,28.65,9.38,83,100,6.86,RO,1682032801
259,huarmey,-10.0681,-78.1522,25.29,78,77,3.81,PE,1682032909
260,melekeok village,7.4957,134.6367,28.31,83,75,1.54,PW,1682032909
261,kavaratti,10.5669,72.642,28.48,73,100,3.55,IN,1682032909
262,qaqortoq,60.7167,-46.0333,-0.03,91,92,0.18,GL,1682032909
263,prieska,-29.6641,22.7474,9.16,60,44,2.04,ZA,1682032909
264,praia da vitoria,38.7333,-27.0667,13.14,76,20,7.52,PT,1682032909
265,bafoulabe,13.8065,-10.8321,35.67,14,30,2.88,ML,1682032909
266,klyuchi,52.2667,79.1667,-4.18,69,5,0.73,RU,1682032909
267,nguigmi,14.2495,13.1092,30.45,18,0,6.38,NE,1682032910
268,inhambane,-23.865,35.3833,21.55,85,0,3.11,MZ,1682032910
269,mozarlandia,-14.7447,-50.5706,23.34,86,41,2.8,BR,1682032910
270,broome,42.2506,-75.833,18.21,43,75,2.57,US,1682032910
271,hammerfest,70.6634,23.6821,2.25,93,75,5.66,NO,1682032910
272,vilyuysk,63.7553,121.6247,-8.39,91,100,3.69,RU,1682032910
273,stjordalshalsen,63.4681,10.9262,6.62,81,0,3.09,NO,1682032910
274,woodbridge,40.5576,-74.2846,19.85,54,0,3.6,US,1682032910
275,alice springs,-23.7,133.8833,12.75,71,5,3.09,AU,1682032778
276,fort mcmurray,56.7268,-111.381,9.77,25,0,6.17,CA,1682032748
277,la passe,45.5549,-0.8967,10.13,78,22,5.59,FR,1682032910
278,fort bragg,35.139,-79.006,29.08,32,0,4.12,US,1682032910
279,chake chake,-5.2459,39.7666,25.26,88,99,2.4,TZ,1682032910
280,poronaysk,49.2167,143.1167,4.67,74,82,1.82,RU,1682032911
281,torghay,49.6339,63.4981,6.27,71,95,2.32,KZ,1682032816
282,campoverde,-8.4753,-74.8058,27.83,97,100,0.89,PE,1682032911
283,andergrove,-21.0833,149.1833,26.47,71,21,7.43,AU,1682032911
284,bandarbeyla,9.4942,50.8122,27.3,77,18,2.65,SO,1682032911
285,tindouf,27.6711,-8.1474,15.95,64,0,9.32,DZ,1682032911
286,richmond,37.5538,-77.4603,29.52,35,20,4.12,US,1682032712
287,libreville,0.3925,9.4537,25.82,88,100,2.57,GA,1682032911
288,iskateley,67.6803,53.1512,-5.12,97,97,3.59,RU,1682032911
289,montevideo,-34.8335,-56.1674,15.29,71,0,2.24,UY,1682032863
290,ngetkib,7.3645,134.5148,28.14,83,75,1.54,PW,1682032911
291,saint-denis,48.9167,2.3333,6.75,85,0,2.57,FR,1682032911
292,ikwiriri,-7.9562,38.9716,22.73,99,97,1.38,TZ,1682032911
293,seagoville,32.6396,-96.5383,25.09,78,69,4.97,US,1682032911
294,tan-tan,28.438,-11.1032,16.82,83,14,6.28,MA,1682032911
295,malpica,43.3228,-8.8105,13.09,72,92,2.27,ES,1682032911
296,sierra madre,34.1617,-118.0528,29.89,25,0,7.2,US,1682032911
297,naracoorte,-36.9579,140.7383,15.13,84,43,1.82,AU,1682032912
298,arawa,-6.2132,155.5367,28.91,72,33,1.48,PG,1682032912
299,sur,22.5667,59.5289,28.35,57,84,3.47,OM,1682032912
300,lompoc,34.6391,-120.4579,28.16,48,40,12.86,US,1682032912
301,enewetak,11.3474,162.3373,27.05,81,95,8.96,MH,1682032912
302,malvan,16.0667,73.4667,26.67,76,0,1.86,IN,1682032912
303,dryden,49.7833,-92.7503,2.16,35,100,11.83,CA,1682032912
304,teluknaga,-6.0989,106.6381,28.07,94,40,2.06,ID,1682032912
305,zeya,53.75,127.2667,0.81,47,100,4.93,RU,1682032912
306,hola,51.5377,23.1902,10.1,76,54,3.21,PL,1682032912
307,goz beida,13.95,20.55,30.46,16,4,4.14,TD,1682032913
308,valente,-11.4122,-39.4619,28.3,60,63,6.67,BR,1682032913
